iter	RMSE
330	5.108101601
331	5.107793274
332	5.107459233
333	5.107060466
334	5.106771811
335	5.106443211
336	5.106185501
337	5.105847683
338	5.105533942
339	5.105300288
340	5.104947031
341	5.104662618
342	5.104263403
343	5.103918111
344	5.103576239
345	5.103284402
346	5.103060518
347	5.102553242
348	5.1022726
349	5.101991483
350	5.101715174
351	5.101367412
352	5.10099183
353	5.100659411
354	5.100210945
355	5.09991363
356	5.09960389
357	5.099357095
358	5.099035141
359	5.098610893
360	5.098230741
361	5.097936759
362	5.097462996
363	5.097127358
364	5.096812161
365	5.096456247
366	5.096134109
367	5.095730546
368	5.095459417
369	5.094978984
370	5.094709885
371	5.094326681
372	5.094003259
373	5.093718465
374	5.093449529
375	5.093097982
376	5.092655752
377	5.092410231
378	5.092012127
379	5.09182526
380	5.091396729
381	5.09108486
382	5.090764684
383	5.090452315
384	5.090215897
385	5.089946546
386	5.089628371
387	5.089281625
388	5.088955349
389	5.088517365
390	5.088113429
391	5.087869992
392	5.087514834
393	5.087243498
394	5.086997716
395	5.086721974
396	5.086316743
397	5.085987743
398	5.085719781
399	5.085359865
400	5.085078043
401	5.08481349
402	5.084529564
403	5.084247696
404	5.083879147
405	5.083570965
406	5.083220118
407	5.082969531
408	5.08265138
409	5.082318915
410	5.081984813
411	5.081587275
412	5.081369815
413	5.081077394
414	5.080772041
415	5.080435301
416	5.080072703
417	5.079861407
418	5.079403722
419	5.079087424
420	5.078912541
421	5.078603135
422	5.07832163
423	5.07806111
424	5.077800114
425	5.077517873
426	5.077189456
427	5.076957036
428	5.076673594
429	5.076438611
430	5.076049873
431	5.075772844
432	5.075562292
433	5.07529909
434	5.075087826
435	5.074719305
436	5.074327664
437	5.073997886
438	5.073648686
439	5.07327775
440	5.073039376
441	5.072718755
442	5.072473424
443	5.072094086
444	5.071811296
445	5.071434911
446	5.071043479
447	5.070691996
448	5.07042623
449	5.070096198
450	5.069797349
451	5.069538701
452	5.06927588
453	5.068981605
454	5.068560391
455	5.068215209
456	5.067886884
457	5.06749009
458	5.067168655
459	5.066910105
460	5.066483861
461	5.066189887
462	5.065874615
463	5.065515833
464	5.06532822
465	5.06510798
466	5.064886111
467	5.064549934
468	5.064183191
469	5.063846968
470	5.063491051
471	5.063142515
472	5.062874269
473	5.062568512
474	5.062385188
475	5.062056947
476	5.06168794
477	5.061408274
478	5.061148966
479	5.060922292
480	5.060733583
481	5.060498091
482	5.060280188
483	5.060070381
484	5.059813321
485	5.05958404
486	5.059360076
487	5.059172698
488	5.058918603
489	5.058609827
490	5.058279025
491	5.058048979
492	5.057775135
493	5.057460497
494	5.057169474
495	5.056857115
496	5.056596416
497	5.056283327
498	5.056061997
499	5.055728015
